,0
TroponinI_std,0.94875
TroponinI_slope,0.94875
TroponinI_max,0.94875
TroponinI_min,0.94875
TroponinI_mean,0.94875
TroponinI_last,0.94875
Cholesterol_mean,0.92375
Cholesterol_max,0.92375
Cholesterol_last,0.92375
Cholesterol_slope,0.92375
Cholesterol_std,0.92375
Cholesterol_min,0.92375
TroponinT_min,0.78425
TroponinT_max,0.78425
TroponinT_last,0.78425
TroponinT_mean,0.78425
TroponinT_std,0.78425
TroponinT_slope,0.78425
RespRate_last,0.72475
RespRate_mean,0.72475
RespRate_min,0.72475
RespRate_max,0.72475
RespRate_slope,0.72475
RespRate_std,0.72475
Albumin_min,0.59625
Albumin_slope,0.59625
Albumin_max,0.59625
Albumin_mean,0.59625
Albumin_std,0.59625
Albumin_last,0.59625
ALP_std,0.5775
ALP_last,0.5775
ALP_min,0.5775
ALP_mean,0.5775
ALP_slope,0.5775
ALP_max,0.5775
Bilirubin_last,0.5705
Bilirubin_max,0.5705
Bilirubin_slope,0.5705
Bilirubin_min,0.5705
Bilirubin_mean,0.5705
Bilirubin_std,0.5705
ALT_min,0.56975
ALT_mean,0.56975
ALT_last,0.56975
ALT_max,0.56975
ALT_std,0.56975
ALT_slope,0.56975
AST_min,0.56875
AST_mean,0.56875
AST_max,0.56875
AST_last,0.56875
AST_slope,0.56875
AST_std,0.56875
SaO2_min,0.552
SaO2_mean,0.552
SaO2_last,0.552
SaO2_max,0.552
SaO2_slope,0.552
SaO2_std,0.552
Height_static,0.4735
Lactate_min,0.45425
Lactate_last,0.45425
Lactate_mean,0.45425
Lactate_slope,0.45425
Lactate_max,0.45425
Lactate_std,0.45425
MechVent_mean,0.36775
MechVent_max,0.36775
MechVent_last,0.36775
MechVent_min,0.36775
MechVent_slope,0.36775
MechVent_std,0.36775
FiO2_slope,0.32075
FiO2_max,0.32075
FiO2_std,0.32075
FiO2_mean,0.32075
FiO2_min,0.32075
FiO2_last,0.32075
Weight_ts_max,0.3185
Weight_ts_slope,0.3185
Weight_ts_last,0.3185
Weight_ts_std,0.3185
Weight_ts_mean,0.3185
Weight_ts_min,0.3185
MAP_max,0.302
MAP_last,0.302
MAP_mean,0.302
MAP_slope,0.302
MAP_std,0.302
MAP_min,0.302
SysABP_slope,0.30025
SysABP_last,0.30025
SysABP_std,0.30025
DiasABP_std,0.30025
DiasABP_last,0.30025
DiasABP_max,0.30025
DiasABP_slope,0.30025
DiasABP_mean,0.30025
SysABP_max,0.30025
SysABP_mean,0.30025
DiasABP_min,0.30025
SysABP_min,0.30025
PaO2_last,0.24425
PaO2_std,0.24425
PaO2_slope,0.24425
PaO2_max,0.24425
PaCO2_min,0.24425
PaCO2_max,0.24425
PaCO2_last,0.24425
PaCO2_std,0.24425
PaCO2_slope,0.24425
PaO2_mean,0.24425
PaO2_min,0.24425
PaCO2_mean,0.24425
pH_last,0.24
pH_mean,0.24
pH_min,0.24
pH_max,0.24
pH_slope,0.24
pH_std,0.24
NIMAP_mean,0.12975
NIMAP_last,0.12975
NIMAP_max,0.12975
NIMAP_std,0.12975
NIMAP_slope,0.12975
NIMAP_min,0.12975
NIDiasABP_std,0.12925
NIDiasABP_slope,0.12925
NIDiasABP_last,0.12925
NIDiasABP_min,0.12925
NIDiasABP_mean,0.12925
NIDiasABP_max,0.12925
NISysABP_mean,0.12675
NISysABP_last,0.12675
NISysABP_max,0.12675
NISysABP_min,0.12675
NISysABP_std,0.12675
NISysABP_slope,0.12675
Weight_static,0.074
Urine_min,0.02925
Urine_max,0.02925
Urine_slope,0.02925
Urine_mean,0.02925
Urine_last,0.02925
Urine_std,0.02925
Glucose_min,0.02825
Glucose_last,0.02825
Glucose_max,0.02825
Glucose_slope,0.02825
Glucose_std,0.02825
Glucose_mean,0.02825
Mg_last,0.02575
Mg_min,0.02575
Mg_max,0.02575
Mg_mean,0.02575
Mg_slope,0.02575
Mg_std,0.02575
K_last,0.024
K_std,0.024
K_mean,0.024
K_max,0.024
K_slope,0.024
K_min,0.024
HCO3_std,0.019
HCO3_slope,0.019
HCO3_max,0.019
HCO3_min,0.019
HCO3_mean,0.019
HCO3_last,0.019
Na_std,0.01875
Na_mean,0.01875
Na_max,0.01875
Na_slope,0.01875
Na_min,0.01875
Na_last,0.01875
WBC_min,0.01825
WBC_mean,0.01825
WBC_slope,0.01825
WBC_max,0.01825
WBC_std,0.01825
WBC_last,0.01825
Platelets_mean,0.017
Platelets_min,0.017
Platelets_std,0.017
Platelets_last,0.017
Platelets_max,0.017
Platelets_slope,0.017
Creatinine_min,0.016
BUN_min,0.016
Creatinine_mean,0.016
GCS_slope,0.016
BUN_last,0.016
BUN_max,0.016
Creatinine_max,0.016
BUN_std,0.016
BUN_mean,0.016
BUN_slope,0.016
HCT_min,0.016
Creatinine_std,0.016
GCS_std,0.016
GCS_last,0.016
GCS_min,0.016
GCS_max,0.016
GCS_mean,0.016
Creatinine_slope,0.016
HCT_last,0.016
HCT_max,0.016
Creatinine_last,0.016
HCT_slope,0.016
Temp_mean,0.016
Temp_slope,0.016
Temp_last,0.016
Temp_std,0.016
HCT_std,0.016
Temp_min,0.016
Temp_max,0.016
HCT_mean,0.016
HR_mean,0.01575
HR_std,0.01575
HR_last,0.01575
HR_slope,0.01575
HR_min,0.01575
HR_max,0.01575
Gender_static,0.00075
Age_static,0.0
RecordID_static,0.0
ICUType_static,0.0
RecordID,0.0
in_hosp_death,0.0
